,Error,Cost,Q_pos_x_0,Q_pos_x_1,Q_pos_y_0,Q_pos_y_1,Q_pos_z_0,Q_pos_z_1,Q_att_x_0,Q_att_x_1,Q_att_y_0,Q_att_y_1,Q_att_z_0,Q_att_z_1,Q_vel_0,Q_vel_1,Q_omega_0,Q_omega_1,Q_horizon_0,Q_horizon_1
0,35194.0377230722,1238620291.25303,1027.258,1009.198,970.149,989.561,1479.956,1481.046,112.536,92.166,158.098,142.524,472.939,482.498,79.199,84.305,103.976,57.257,1.031,6.412
0,31209.9771226926,974062671.998993,1026.785,1003.518,969.329,988.088,1478.062,1485.663,116.055,93.881,155.084,141.403,469.04,483.205,77.309,79.344,108.511,61.714,1.77,6.355
0,30412.0848575489,924894905.382756,1021.57,1005.404,970.529,997.914,1483.492,1484.419,110.082,100.195,155.48,142.463,463.083,477.157,73.453,72.887,110.317,56.247,1.504,6.706
0,33368.8858839287,1113482545.13465,1011.584,1008.725,969.419,995.766,1492.078,1482.578,113.638,100.905,157.086,133.132,456.481,481.555,82.798,68.682,109.29,58.508,1.554,6.541
0,36151.7003871186,1306945440.87999,1006.952,1009.876,968.218,995.82,1490.58,1487.109,118.408,102.011,160.816,133.767,452.6,482.517,85.618,69.706,114.456,62.183,1.498,6.437
0,39776.5938403684,1582177417.54163,1004.32,997.385,968.116,1000.448,1494.29,1492.045,133.254,103.622,153.725,134.374,442.651,482.913,79.232,68.292,117.937,70.754,1.577,6.116
0,35303.1579063047,1246312958.15749,1006.662,1011.12,961.292,1004.014,1487.053,1490.309,117.251,107.627,153.998,137.388,445.839,477.397,80.779,68.463,117.767,67.721,1.761,5.887
0,35320.5026673463,1247537908.67402,1010.018,1012.448,964.839,999.482,1483.216,1491.744,116.713,105.17,154.917,139.292,447.124,472.993,84.565,75.531,105.236,64.798,2.048,5.818
0,36710.1237781217,1347633187.80502,1013.819,1009.936,961.901,996.367,1481.782,1492.651,120.089,106.373,152.866,140.55,441.032,465.609,81.4,80.306,99.045,67.115,3.068,6.534
0,28381.8819327546,805531222.044821,1011.118,998.767,964.423,992.97,1481.271,1496.647,118.194,108.374,158.423,141.763,443.565,459.015,79.298,83.324,100.653,68.051,2.268,6.783
0,37650.1119375761,1417530928.91201,1003.187,996.372,966.235,997.158,1485.608,1492.864,118.771,102.96,156.037,135.528,449.042,456.74,83.03,88.594,97.067,64.221,2.281,6.64
0,31518.7811946913,993433567.998826,1009.978,1000.401,973.144,1001.635,1483.078,1490.472,113.782,107.606,164.453,142.66,455.858,457.642,89.883,91.948,92.422,65.397,2.161,7
0,31796.2996046569,1011004668.5491,1009.401,998.042,982.346,1000.481,1490.219,1491.167,102.098,96.743,165.243,137.235,463.254,450.422,84.046,95.535,90.433,57.832,1.163,6.959
0,32996.3928232633,1088761939.3471,1016.37,994.783,985.305,999.74,1477.216,1488.472,97.702,86.706,155.587,137.876,466.844,456.346,84.359,99.12,93.982,53.172,1.373,6.14
0,26913.8762295864,724356733.701495,1017.764,994.11,976.273,997.636,1481.852,1486.73,96.145,92.42,160.815,140.572,470.045,449.944,94.441,98.646,90.002,58.254,1.543,6.015
0,29230.3813795055,854415195.59134,1016.868,991.698,981.439,1002.157,1487.201,1487.911,93.909,87.194,158.824,129.062,470.273,447.763,89.501,92.712,87.856,55.692,1.213,6.375
0,40273.9423024683,1621990428.58255,1020.41,986.646,980.853,1008.937,1487.44,1483.24,99.321,85.586,161.995,126.977,467.076,440.99,84.841,93.935,88.756,51.157,1.344,5.955
0,37132.8034799497,1378845094.28056,1029.754,988.575,986.017,1016.778,1492.521,1492.727,97.143,85.294,165.545,128.306,466.47,445.869,79.474,95.495,89.931,55.641,2.064,6.115
0,36515.7763341706,1333401921.28718,1033.432,988.788,991.6,1012.084,1496.111,1491.287,94.912,86.549,163.24,134.134,467.688,448.443,79.788,102.475,94.641,57.392,1.33,6.495
0,34339.3867449582,1179193482.01981,1028.794,987.939,990.668,1017.28,1495.102,1487.131,97.954,82.643,152.579,134.899,466.948,444.578,77.859,104.329,97.579,65.756,1.65,6.787
0,36736.9442325644,1349603071.54655,1027.279,995.135,990.855,1017.317,1493.201,1482.601,102.016,84.98,159.488,136.637,467.591,450.729,69.106,106.878,106.837,69.559,1.529,6.145
0,31573.8594625432,996908601.360431,1030.37,1001.355,991.232,1025.035,1491.688,1488.529,107.69,89.034,163.053,137.769,468.389,448.283,66.998,109.851,109.571,69.078,2.447,6.5
