error,t,p_x,p_y,p_z
0.008080201566005973,1614258692.0121381,-4.999884516295123,4.498192678409039,1.205808638665107
0.0028834769545260652,1614258692.032138,-4.999105034957846,4.495241049701461,1.210517274384139
0.013210481657629503,1614258692.052138,-4.9977660489367635,4.49007523706854,1.2168634131898843
0.018647170679732206,1614258692.072138,-4.995686905126369,4.481913440163211,1.224715449289766
0.015284982772744149,1614258692.092138,-4.992696811415448,4.469977261371071,1.2338231815061598
0.061841255585414645,1614258692.112138,-4.98866138692825,4.453600076060427,1.243820648935624
0.06848350592495134,1614258692.1321383,-4.983495596872853,4.43231018831768,1.254297805113896
0.025514135149016015,1614258692.1521382,-4.977152162978996,4.405829220468884,1.2649276610140392
0.052566329486756214,1614258692.1721382,-4.969594332442667,4.3739857685405825,1.2755759760087242
0.036220773197481515,1614258692.1921382,-4.960793606362111,4.336717466007953,1.2862774711539344
0.07802441652738268,1614258692.2121382,-4.9507307649139225,4.294073022998932,1.2971811122812438
0.05120085504550609,1614258692.2321382,-4.939390161591824,4.246175013460039,1.3085049924967342
0.10484465397073017,1614258692.2521381,-4.926754943235564,4.1931829881896965,1.3204884371981127
0.06618303662898772,1614258692.272138,-4.9128036859040325,4.135262581395354,1.3333503609031128
0.13026914241336818,1614258692.292138,-4.897507681432193,4.072559912250804,1.3472629287351217
0.07808106954810046,1614258692.312138,-4.880829588163298,4.005185245464253,1.3623408764827303
0.15186173980603712,1614258692.332138,-4.862723674892461,3.9332069585580496,1.3786444064018344
0.08606737752684168,1614258692.352138,-4.843136936993301,3.85665289975196,1.39619310900011
0.1695367222614803,1614258692.372138,-4.822012471211994,3.77552184666937,1.4149792831293686
0.2676981347054379,1614258692.3921382,-4.799292640614391,3.689796460292557,1.4349830815993914
0.09329868329042146,1614258692.4121382,-4.77492199512279,3.5994581378673,1.4561838590278544
0.19194488997830472,1614258692.4321382,-4.748848394761269,3.5045011533335497,1.478568237235243
0.0903868682452631,1614258692.4521382,-4.721020477681695,3.4049388192790664,1.5021406622085045
0.08860871862461495,1614258692.4721382,-4.691385907713035,3.3008093343430907,1.526925632003356
0.09915835786337879,1614258692.4921381,-4.659888438922718,3.192175618839666,1.5529694060979382
0.2514055167055589,1614258692.5121381,-4.626466312159579,3.0791250621160913,1.5803359995530744
0.10022944987893978,1614258692.532138,-4.591051428495185,2.9617686786205666,1.6091004621347504
0.28423681511652465,1614258692.552138,-4.553565949737478,2.8402337574034284,1.6393498188220141
0.11228311852591344,1614258692.572138,-4.513924058052163,2.714666097298583,1.6711721549879883
0.31710191864470794,1614258692.592138,-4.472030011645545,2.5852261066074043,1.7046569180089857
0.12911534176397832,1614258692.612138,-4.427777563553381,2.4520888515057715,1.7398934090870875
0.34955023035742405,1614258692.6321383,-4.3810520680654985,2.315449994092762,1.7769639447796415
0.14494089471880622,1614258692.6521382,-4.331725149556943,2.175523324853398,1.8159552849931253
0.38096781298071836,1614258692.6721382,-4.279660052729514,2.0325524135745012,1.8569461951487112
0.15921800545334075,1614258692.6921382,-4.224708031240275,1.8868143636186376,1.9000140330262858
0.4106099730853596,1614258692.7121382,-4.166707092661226,1.738639063355,1.945229761815618
0.6694104317909717,1614258692.7321382,-4.105494476852588,1.5884438871675846,1.9926224285251766
0.11070270823195116,1614258692.7321382,-4.105494476852588,1.5884438871675846,1.9926224285251766
0.44630995853686994,1614258692.772138,-3.972635429116756,1.2840508146962366,2.0941042434898085
0.12363205754022166,1614258692.792138,-3.9005678008789446,1.1310807982807596,2.1482159638293497
0.12835248493906481,1614258692.812138,-3.824480957609314,0.9785166794957857,2.204512585197221
0.17973371199961485,1614258692.832138,-3.7442211034147377,0.8270904040994559,2.2628704863905913
0.4740677556784434,1614258692.852138,-3.6596798663425636,0.6775383302260554,2.323111219123845
0.17538066525591622,1614258692.872138,-3.570815735380928,0.5305770832317694,2.384996133633174
0.4754612754016687,1614258692.8921382,-3.477662892652907,0.38687884126417493,2.4482256590833114
0.16481087399288957,1614258692.9121382,-3.380309368528476,0.24706500532544934,2.5124600444955973
0.46650233000689156,1614258692.9321382,-3.278848968696221,0.11173869240501225,2.577364787756907
0.15175794793101746,1614258692.9521382,-3.173402992156026,-0.01853700737916953,2.6425746363463043
0.44770201848804103,1614258692.9721382,-3.0641271785807493,-0.14325143889802125,2.7076808419602094
0.1647488778101608,1614258692.9921381,-2.9512042827273164,-0.26194008218216497,2.7722375454331183
0.4195367025972804,1614258693.0121381,-2.834839629154277,-0.37418830766515515,2.835765155897141
0.17442511490835894,1614258693.032138,-2.715255603233179,-0.4796567579950531,2.897758570558151
0.3832609275172586,1614258693.052138,-2.592663706258683,-0.5780714286493251,2.957723223681369
0.657295880845249,1614258693.072138,-2.4672400343906014,-0.6691979443520601,3.015207989438543
0.183302856566668,1614258693.092138,-2.339120191435466,-0.7528349635382812,3.069819694767812
0.3179701148202082,1614258693.112138,-2.208409467346109,-0.8288314697863017,3.1212262072294017
0.22233749247618728,1614258693.1321383,-2.075186314608456,-0.8970732236835844,3.1691572423197285
0.22635569624274487,1614258693.1521382,-1.9395084724472136,-0.9574670640100211,3.2133976581844204
0.2387848678190745,1614258693.1721382,-1.8014221435036857,-1.0099327490362477,3.253775734956927
0.3166290761572448,1614258693.1921382,-1.660969469845325,-1.0543935269309372,3.2901492822606526
0.26543434160168844,1614258693.2121382,-1.5181950723232698,-1.0907746928414292,3.3223938920704525
0.3542407564613439,1614258693.2321382,-1.3731487751273515,-1.119009038718958,3.3503994285291867
