,t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,u_1,u_2,u_3,u_4,mu_0
0,0.0,6.373129367828369,-81.43741607666016,43.5442,0.984807550907135,-5.846600988508277e-24,-1.4052374427492125e-23,0.17364919185638428,0.0,0.0,0.0,0.9804083956012472,7.8735310898353505,-3.7703037345281525e-09,4.178992961496397,4.178993931263774,4.178992066087833,4.178990306096199,1.0
1,0.00717471,6.373137314746053,-81.43741425625046,43.544377559970656,0.9844086528722348,-0.001440913580402313,0.028422934106975637,0.17357885494430836,0.0033209158386414183,0.0007607260708469224,0.04942158084318645,0.9804079452474834,7.873530343844192,-9.134211370306189e-29,4.178993173118784,4.178996109830609,4.178990226897245,4.178987290185419,0.9996984309975504
2,0.0143494,6.373192828317821,-81.4374015396911,43.54490764093261,0.983212282197125,-0.0028806615412439464,0.05682283751354584,0.17336790130826998,0.0132503108179134,0.0030352644410116727,0.09820356207305272,0.9804069760249572,7.873528402260585,4.074066935100317e-27,4.178993151627037,4.178997109002808,4.178987399006276,4.178983441630505,0.9993968534688736
3,0.021524099999999997,6.373343098567932,-81.43736711710416,43.54578427820971,0.9812194088597972,-0.004318078281622892,0.08517669879204147,0.1730165020846639,0.02972224876127415,0.0068085116391502784,0.14596308887462442,0.9804056699459236,7.873525197605879,-3.460273962471531e-30,4.178992997229321,4.1789976709877585,4.1789830039933165,4.178978330234878,0.9990952522866108
4,0.0286988,6.373634766861134,-81.43730030428881,43.546998775515966,0.9784316486747062,-0.0057519994536108544,0.11346154319706712,0.17252494230076673,0.05264976434825214,0.012060547180591885,0.19232176563223907,0.9804041274343559,7.873520356960201,5.072999724140416e-28,4.1789927741771935,4.178998023891803,4.1789761253190845,4.178970875604475,0.9987936054674617
5,0.0358735,6.374113775981227,-81.43719057706336,43.548539741299976,0.97485126226236,-0.007181262937488948,0.1416544500862918,0.1718936206438181,0.0819251409148706,0.018766697066523414,0.23690686610152684,0.980402394836144,7.8735131296286704,1.5401370789134254e-27,4.1789924945933885,4.178998262994977,4.178964904587203,4.178959136185615,0.9984918841319056
6,0.0430483,6.37482522242987,-81.43702760509967,43.55039313370121,0.9704811538013784,-0.008604709619720947,0.16973256976328446,0.17112304918411084,0.11742025136023294,0.02689761174232241,0.2793525232927346,0.9804004910522208,7.873502120131593,5.320542651055979e-30,4.1789921524752165,4.178998433843796,4.178945352585912,4.178939071217333,0.9981900525944876
7,0.050223000000000004,6.375813211374544,-81.43680128515177,43.55254231391788,0.9653248698970124,-0.010021183819750529,0.19767313870034775,0.17021385306125375,0.15898695534603027,0.03641935690056525,0.31930088384342753,0.9803984179703912,7.873484601371179,8.933787784942022e-25,4.178991733856986,4.178998560630077,4.178907797403863,4.178900970630772,0.9978880684829718
8,0.057397699999999996,6.377120714577916,-81.43650177360334,43.55496810761706,0.9593865995370064,-0.011429532929042968,0.2254534904648964,0.1691667702006099,0.206457532438118,0.04729351236862022,0.35640319531811315,0.9803961648850852,7.873454646180256,-4.650188503943737e-29,4.178991220247175,4.178998657279306,4.178824026824378,4.178816589792248,0.997585882869626
9,0.0645724,6.3787894312920015,-81.43611951833975,43.55764887350317,0.9526711784600408,-0.012828604669650192,0.25305105332876565,0.16798265128484988,0.25964507344331994,0.05947726100979666,0.3903207151885857,0.9803937103919312,7.873397011730307,-5.845480038001517e-28,4.178990589523528,4.178998732326341,4.1785829998377455,4.178574857034933,0.997283440408799
10,0.0717471,6.380859650307071,-81.43564529036443,43.56056057561056,0.9451841134177071,-0.014217234448500891,0.2804432922543088,0.16666246097821827,0.3183434024579373,0.07292336874314931,0.42072484668748106,0.9803910229685872,7.873259804773389,-1.119008956421815e-26,4.178989815834803,4.1789987912723765,4.17739940668978,4.177390431252205,0.996980679477914
11,0.07892180000000001,6.383370094147133,-81.43507021953947,43.563676831951895,0.9369317567966999,-0.015594158898963088,0.3076072353882519,0.16520728835571682,0.38232210599274413,0.08757903623823894,0.4472904763504876,0.9803880607452578,7.872731949247202,7.253332082354739e-27,4.178988867089185,4.178998837844247,3.671964442575323,3.6719544718202597,0.996677532322954
12,0.0860965,6.386342574982955,-81.43438931473631,43.566948341950685,0.9280210565785028,-0.01690896885337926,0.3342426153734334,0.16362406134121735,0.4470404434942058,0.10240122342391472,0.4640077806385754,0.9803847700306808,7.7053920171117225,-5.503501572717337e-25,4.1789876871393306,4.178998874855482,1.5693969631227331,1.5693857754065814,0.996373927549586
13,0.0932712,6.389727398784242,-81.4336140266868,43.57024294201879,0.919037304159084,-0.017909883557903232,0.3589180020969709,0.16194903929541976,0.496997326568832,0.11382155543433126,0.4539221608640786,0.9803810776743456,6.844127750062588,-5.830263324742103e-23,4.1789861747220565,4.178998904656942,2.1888013595193287,2.1887886295844416,0.9960698010389516
14,0.10044600000000001,6.393501896740469,-81.43274990709055,43.57347868017088,0.9104551545713072,-0.018458523104283257,0.3808669550020549,0.16022175534162794,0.5556332347749401,0.12714517458742686,0.4475724950507017,0.9803768763293088,6.187289623799185,-8.89740694487285e-25,4.178984239670853,4.178998928704545,2.0294595045668533,2.0294448155331613,0.9957650917198108
15,0.10762100000000001,6.397700821937756,-81.4317897874288,43.5766528114175,0.9023469078665588,-0.018605302376023668,0.4003931524697659,0.15845875753860386,0.6152272382164478,0.14055483599444876,0.4367945712888744,0.9803720284098696,5.4778628379359295,3.841154703383631e-24,4.178981752695128,4.178998948115285,2.091364084256313,2.0913468888361555,0.9954597326192314
16,0.11479500000000001,6.402337340522316,-81.43073182917597,43.579742466229845,0.8948811009602164,-0.0183471847032008,0.4174959433674299,0.15667892961221974,0.6775528814158946,0.15439446386493536,0.4240596919846383,0.980366353291043,4.788866825630798,1.2582024090684536e-25,4.178978528936423,4.178998963768676,2.08888117449457,2.0888607396623184,0.9951536540941022
17,0.12197000000000001,6.407427347115085,-81.4295739854854,43.58273219823286,0.8881711534409897,-0.017695942600660958,0.4322568970849413,0.15489604402999022,0.7415801999675786,0.16837577161099346,0.4089862897965285,0.9803596090475082,4.0990513569449085,-6.009311265263897e-23,4.178974298903358,4.1789989763663415,2.1084003160913496,2.108375638628366,0.9948467833064102
18,0.129145,6.412982665821932,-81.42831553456713,43.58560695391481,0.882321231856392,-0.0166591298424601,0.4447309379423106,0.15312107544629522,0.8072080906979862,0.18241791721644454,0.39205824475629936,0.9803514645803488,3.4156779161619286,-3.0937676947065407e-23,4.178968660576,4.178998986474665,2.131069125792618,2.1310387998939526,0.9945390447486764
19,0.136319,6.419013802609247,-81.42695646734028,43.58835458254447,0.8774106744247674,-0.015246280100902287,0.4549809667272386,0.15136159668373167,0.8741688493311189,0.1964028942928541,0.3736009850950219,0.9803414559224116,2.73978601000633,3.643018662004921e-23,4.178960994921988,4.178998994553299,2.176862453907788,2.176824454276476,0.994230360341806
20,0.143494,6.425530262620825,-81.42549743138966,43.59096592342369,0.8734937941130023,-0.013468860380124705,0.4630771065083067,0.1496219521057429,0.9424510135439668,0.21026541938478446,0.3541205300490933,0.980328914651476,2.0790075776873738,-3.927657567892272e-24,4.178950308734638,4.17899900097433,2.2596819604084115,2.25963326816872,0.9939206494812424
21,0.150669,6.432542164030421,-81.42393941655723,43.593435838921486,0.870590981770466,-0.011343177472187892,0.4691132798496583,0.14790320864523854,1.012236417137147,0.22397510941907606,0.3342307728064998,0.980312844427914,1.4455626155474477,7.440943894967453e-22,4.1789349220742436,4.178999006034276,2.4458480864140224,2.4457840024539883,0.9936098288257156
22,0.157844,6.4400638214983426,-81.42228309813538,43.59576544182442,0.8686667469887867,-0.008897226372794442,0.4732478629485197,0.14620306401178434,1.0845132288723114,0.2376493326956058,0.3150565861988279,0.9802916943725664,0.8735592958989639,-1.3280342261906396e-23,4.178911784309904,4.178999009963075,2.5808924198088183,2.580805194155647,0.9932978115090648
23,0.165018,6.448110262145357,-81.42052957382903,43.59795939448706,0.8676554156718517,-0.00616277852469026,0.4756583261832767,0.14451716237771234,1.1584901749607008,0.2510547503540741,0.2964661022420761,0.9802629067103916,0.3461255540524944,-6.66313973460556e-23,4.1788748775102995,4.1789990129266,3.768015103637341,3.767890968221042,0.9929845068820858
24,0.172193,6.456737633492283,-81.41867325725529,43.600052375085404,0.8671964438543456,-0.0032560720005650533,0.4770295856245889,0.14283715858775695,1.2464274431847893,0.2662745231774617,0.2869262338902044,0.9802219374737224,0.21048580232892852,-2.4008528798760203e-25,4.1788125007675765,4.1789990149893805,4.127257908226249,4.127071394004444,0.9926698137682904
