error,t
0.18230988214380117,1614305572.2464225
0.16039179019379524,1614305572.2671504
0.1726046055041186,1614305572.287975
0.1809771690655284,1614305572.2984533
0.1386980494112684,1614305572.3191855
0.1386980494112684,1614305572.3191855
0.11379034129309717,1614305572.3603606
0.11624187863990354,1614305572.3807976
0.12314951099575566,1614305572.4014046
0.17785537493879588,1614305572.4219627
0.11719357843841527,1614305572.442365
0.1846474965828928,1614305572.4628186
0.1193224242957458,1614305572.483199
0.19567874267169705,1614305572.5037692
0.13323616963942597,1614305572.5242214
0.206513546675114,1614305572.5450556
0.15090039409223932,1614305572.565772
0.15090039409223932,1614305572.565772
0.1713925828808749,1614305572.606982
0.22491731774370471,1614305572.627707
0.2867788867227663,1614305572.637973
0.19919574127138007,1614305572.658422
0.2362201929119665,1614305572.6787126
0.27251310827246655,1614305572.6992812
0.2864443445572089,1614305572.7199671
0.24725890812064577,1614305572.7404985
0.25998008642895054,1614305572.7607641
0.2537303777041289,1614305572.781499
0.4261100640393203,1614305572.8019688
0.299047847985233,1614305572.8227112
0.25761256423945333,1614305572.8433955
0.4042366861978288,1614305572.864227
0.5471086341969422,1614305572.864227
0.35605034440186367,1614305572.904695
0.3185157478747931,1614305572.924906
0.3838952351489673,1614305572.9451346
0.3511249221387338,1614305572.9656842
0.41582563457204347,1614305572.9861026
0.39093521769225936,1614305573.0067334
0.3801365357477755,1614305573.0168386
0.4536654639869486,1614305573.047565
0.44730972825336646,1614305573.057962
0.7273416745414789,1614305573.057962
0.7417928727626595,1614305573.0786955
0.5295246069274586,1614305573.119193
0.5389693638429943,1614305573.1398456
0.5612770728064953,1614305573.1603494
0.5838492921582312,1614305573.1808064
0.5856404464987616,1614305573.2012274
0.621040143193625,1614305573.22178
0.603795515259099,1614305573.2422583
0.6521765697019768,1614305573.2627
0.6156676478121873,1614305573.282848
0.6762804987972832,1614305573.3033867
0.6170537401463257,1614305573.324157
0.6881433820009915,1614305573.3449738
0.6220118995324067,1614305573.3656573
0.6878550607986038,1614305573.3864079
0.643434213818177,1614305573.4072065
0.6807188942732899,1614305573.428013
0.728361791353467,1614305573.4381733
0.7084724949510397,1614305573.4586399
0.7084724949510397,1614305573.4586399
0.9548207887902636,1614305573.4993649
0.9682314963595927,1614305573.5200884
0.7942569059031477,1614305573.5406547
0.8115553794683208,1614305573.56082
0.7015414268380855,1614305573.5815573
0.8072290828551818,1614305573.6021512
0.8418327337871079,1614305573.622731
0.7099733303862443,1614305573.6434376
0.9742528926525946,1614305573.6642675
0.9645987438756145,1614305573.6850083
0.8562337529897361,1614305573.7057276
0.7565228690510482,1614305573.7261002
0.8472544376703061,1614305573.7465312
0.7647278301604991,1614305573.766698
0.8308334451228709,1614305573.7872741
0.7651634685226885,1614305573.8080194
0.8371203335593143,1614305573.818129
0.7798033015737547,1614305573.838691
0.7474290261349292,1614305573.85911
0.7888926725781382,1614305573.8796768
0.7361096373883518,1614305573.9005136
0.9961722585998718,1614305573.9005136
0.8880692204931713,1614305573.941236
