error,t
0.2051755059984688,1614311586.143143
0.18502701330438343,1614311586.1632545
0.18502701330438343,1614311586.1632545
0.1664644073558752,1614311586.2034876
0.18760542406130654,1614311586.2235992
0.2157985215312983,1614311586.2437122
0.14895881326204008,1614311586.2638237
0.1906442171090732,1614311586.2839553
0.13448782638047674,1614311586.30472
0.15212616004757074,1614311586.30472
0.13695417583652048,1614311586.3458736
0.20310103314240524,1614311586.366638
0.1309569095641261,1614311586.3873503
0.21006321874765543,1614311586.4077463
0.15538520876267303,1614311586.4182012
0.17085701801608533,1614311586.4386969
0.1552091235643005,1614311586.4592247
0.22374544611176073,1614311586.4799855
0.21518468997032425,1614311586.500545
0.18415765135357032,1614311586.5208333
0.23337165635052393,1614311586.541568
0.33865368004360175,1614311586.541568
0.2747858591286958,1614311586.5826998
0.2284658212056232,1614311586.6032653
0.24567309757593425,1614311586.624012
0.2535561990031785,1614311586.6448588
0.24755460687729247,1614311586.6655598
0.2804357538080522,1614311586.6861944
0.24558588073763965,1614311586.7066975
0.32808468162832716,1614311586.716804
0.2661079528694297,1614311586.7477083
0.3356296603437783,1614311586.758045
0.34235517791757775,1614311586.7784705
0.302945527314161,1614311586.7989573
0.4810927662042288,1614311586.81935
0.49942205152980357,1614311586.8399155
0.4018455322499479,1614311586.8605568
0.371077609122636,1614311586.8810427
0.4356079417965615,1614311586.9016001
0.41319265119149806,1614311586.9225218
0.4738319924581149,1614311586.943154
0.460298429364155,1614311586.9636638
0.5099282661039932,1614311586.9843984
0.5069248451275923,1614311587.00484
0.5428632688837189,1614311587.0255373
0.5527197292140105,1614311587.0460613
0.6859837660185762,1614311587.0460613
0.5974137849322617,1614311587.0870824
0.6113705575632383,1614311587.0972145
0.6047589511141835,1614311587.11794
0.6440288744605334,1614311587.1384628
0.770186300757006,1614311587.1591034
0.9815786785414049,1614311587.1591034
0.6419364993744188,1614311587.2003407
0.7952870354655894,1614311587.2003407
0.698522259324261,1614311587.2413795
0.7729854465041818,1614311587.2619483
0.6870873436931247,1614311587.282658
0.7014011907807948,1614311587.30279
0.9454552942302569,1614311587.3233356
0.966600410183946,1614311587.343768
0.7646072188403706,1614311587.3641372
0.7879015636599483,1614311587.3847275
0.6879525420159683,1614311587.405392
0.7367881704665596,1614311587.4155145
0.7568836560164908,1614311587.446629
0.7568836560164908,1614311587.446629
1.201450193785207,1614311587.4671733
1.1207410779085756,1614311587.4877293
0.8988475152385411,1614311587.5185342
0.7611565971115813,1614311587.5391955
0.9097027631757033,1614311587.559599
0.7883694034852996,1614311587.5800467
0.9089924638168283,1614311587.6007636
0.804474505763402,1614311587.6209447
0.9018308375223861,1614311587.6413398
0.8142958625682993,1614311587.661804
0.8826821949194451,1614311587.6820314
0.8117379109008231,1614311587.7026865
0.8575119762073398,1614311587.7233872
0.8575119762073398,1614311587.7233872
0.825708237885094,1614311587.7650871
0.7878709560760107,1614311587.7858295
0.9130744921919715,1614311587.8062384
0.8245446647824495,1614311587.826699
0.7725012738204227,1614311587.8368053
0.9125985263045985,1614311587.867594
0.9090001918129884,1614311587.8779697
0.8097003310185593,1614311587.8983998
0.7124203759956446,1614311587.9188273
0.7923271903839431,1614311587.939246
0.7923271903839431,1614311587.939246
0.7654508312079088,1614311587.9803388
0.6766287914345869,1614311588.0011725
0.7329532970800026,1614311588.021781
0.65220567163749,1614311588.042572
0.693605924179461,1614311588.0633206
0.6244275019497758,1614311588.0841281
0.6498938017584988,1614311588.1045432
0.5903274036353565,1614311588.124811
1.027468749683972,1614311588.124811
0.5494894390778127,1614311588.1660526
1.161097137194468,1614311588.1660526
0.5081600978420786,1614311588.2071881
0.4898250934636348,1614311588.2173183
0.9672228957595697,1614311588.2379353
0.9672228957595697,1614311588.2379353
1.8341543786946484,1614311588.2581503
1.889448766963409,1614311588.278695
1.2431088024441346,1614311588.3202171
1.3109084804359412,1614311588.340939
1.0057169935026162,1614311588.3615363
0.7077529665546352,1614311588.3821733
1.4930900147805053,1614311588.4027
1.2100411620545053,1614311588.4230993
1.9148562112409522,1614311588.4436612
2.225752058421774,1614311588.4436612
1.697939931404771,1614311588.484844
1.7424073803968443,1614311588.5052624
1.4977449265963427,1614311588.5259883
1.378254705086075,1614311588.5361097
1.7329505763325206,1614311588.5672395
1.5105977389766692,1614311588.5880303
2.175534943233338,1614311588.5984852
2.199252574895715,1614311588.6191442
1.9945618215397143,1614311588.6399753
2.222338528966095,1614311588.6399753
1.8334368997513992,1614311588.6815126
1.6491145329611583,1614311588.7019374
2.092409073918443,1614311588.722705
1.921453818226296,1614311588.742861
2.2821004189722163,1614311588.7634306
2.4403461289189505,1614311588.7634306
2.131144744399757,1614311588.8046987
2.1334450134981413,1614311588.8248756
1.9954452901973765,1614311588.8455765
1.9290289570569705,1614311588.855695
2.0606097384488056,1614311588.8866162
1.9443736663416877,1614311588.9073303
2.1948182778362217,1614311588.9177825
2.277031916498924,1614311588.9177825
2.07623842847965,1614311588.9591727
2.07623842847965,1614311588.9591727
2.0418068650077874,1614311589.000407
1.9711963883717145,1614311589.0208168
1.9963308987709236,1614311589.041309
1.9445175827751422,1614311589.0618644
1.9475837740077862,1614311589.0820837
1.9475837740077862,1614311589.0820837
1.8954751916616042,1614311589.1231418
1.8839464279876532,1614311589.1437128
1.8367598623105195,1614311589.1644976
1.8466421884041924,1614311589.1850789
1.7759762604008063,1614311589.2058132
1.8079969890641951,1614311589.2266977
1.7099511684369189,1614311589.2474048
1.7647076493361151,1614311589.2682407
1.7964134946990868,1614311589.278334
1.623399190849132,1614311589.2986586
1.7073225905534226,1614311589.3188288
1.4097489643031627,1614311589.3393614
1.3601497590284837,1614311589.3600426
1.480029848282617,1614311589.3805344
1.4434214231854143,1614311589.4008055
1.587428627166946,1614311589.4215395
1.7434065897083,1614311589.44211
1.3227377871837311,1614311589.46269
1.5024263205352362,1614311589.4833734
1.0869678091735087,1614311589.5041137
1.107696071604818,1614311589.5248687
1.143275695686572,1614311589.5454662
1.3690694902548577,1614311589.5660663
1.0486021022025014,1614311589.586519
1.2961816038480554,1614311589.606692
1.0176621222812732,1614311589.6272664
1.2286838934351791,1614311589.6480186
1.139226180067649,1614311589.6581318
1.0003351339134658,1614311589.678688
1.0003351339134658,1614311589.678688
1.1261704428253274,1614311589.7196872
1.0385634062741476,1614311589.7404559
1.3813863751642552,1614311589.7404559
1.290128494855129,1614311589.7818694
1.2113470124274657,1614311589.8026147
1.143313733673668,1614311589.8233647
1.2417522124755036,1614311589.8441868
1.1954452092548051,1614311589.8645787
1.2654851527065873,1614311589.884714
1.2935108762049308,1614311589.9051778
1.2856758619177264,1614311589.9204776
1.2856758619177264,1614311589.9204776
1.2805651372053872,1614311589.9410326
1.2997162486825236,1614311589.9822154
1.2806602136353933,1614311590.002692
1.3183289038364834,1614311590.0228462
1.2671290741849461,1614311590.0433884
1.326934882710945,1614311590.0641239
1.326934882710945,1614311590.0641239
1.2315985313533873,1614311590.1048048
1.3242935126373676,1614311590.1253521
1.146850810077808,1614311590.145896
1.186529640943295,1614311590.166525
1.147868770732394,1614311590.1872373
1.2146735736016117,1614311590.1976824
1.102114506556445,1614311590.2184222
1.2543187898225165,1614311590.2389476
1.3181681234306108,1614311590.2389476
1.2093434866835,1614311590.2800927
1.0885451009203861,1614311590.3006673
1.153412558949809,1614311590.3209019
1.3602602095935925,1614311590.3414614
1.1713567529174171,1614311590.3618722
1.0573069514807907,1614311590.382609
1.8187032318857708,1614311590.382609
1.540148996027551,1614311590.4231682
1.2730242980130084,1614311590.443912
1.2730242980130084,1614311590.443912
1.3408557725852561,1614311590.484963
1.1011108608306222,1614311590.505677
1.4036520863052369,1614311590.5263174
1.1823481627285908,1614311590.54679
1.457837555822022,1614311590.5671926
1.2546044706990596,1614311590.5877528
1.5966081506204404,1614311590.5980048
1.4057745303663542,1614311590.618469
1.2218189763853098,1614311590.6391656
1.5330880805407483,1614311590.6595893
1.358454581991882,1614311590.6801517
2.069010781663163,1614311590.6801517
2.067385711256043,1614311590.700752
1.6527421382575238,1614311590.742016
1.4670175273574864,1614311590.7625787
1.706633444124595,1614311590.7833202
1.5481958557549127,1614311590.8040617
1.7475066185916686,1614311590.824655
1.6151277872050076,1614311590.8448122
1.7750652487283873,1614311590.8655174
1.7197625539180597,1614311590.875627
1.742422636279439,1614311590.9064474
1.6591020653226827,1614311590.9271135
1.621943142913865,1614311590.9372258
1.800320604286154,1614311590.9576006
1.7465077586263227,1614311590.978172
1.936522230962394,1614311590.978172
1.8136715466565247,1614311591.019426
1.7749462022789395,1614311591.04017
1.7627882294227588,1614311591.0610726
1.7657355531335694,1614311591.0816185
1.7792450655942844,1614311591.1021638
1.7495911487185238,1614311591.1226974
1.735426538375221,1614311591.1428697
1.8857982580271206,1614311591.1634016
1.8884833233935576,1614311591.1841722
1.7952129406653556,1614311591.204684
1.8011176676297922,1614311591.2248847
1.7221602150638347,1614311591.2455907
1.68553868827256,1614311591.255706
1.7737896439229943,1614311591.286699
1.7188061923581872,1614311591.3073828
1.85543787328861,1614311591.3073828
1.8091945784421684,1614311591.3379366
1.7765947817916696,1614311591.3583574
1.753291856098834,1614311591.37908
1.7451242597561534,1614311591.3994293
1.7407840804230312,1614311591.4199913
1.706066407278497,1614311591.4406064
1.7217585646271114,1614311591.4611547
1.6551886901959896,1614311591.4815326
1.6917462141997681,1614311591.5022671
1.5968649697433588,1614311591.5227227
1.6546771583833004,1614311591.5432599
1.533790691392229,1614311591.5639334
1.6131830854353226,1614311591.5848074
1.455396908983218,1614311591.605304
1.5565474134746813,1614311591.6258864
1.6686440359138106,1614311591.6463559
1.332882397682239,1614311591.667028
1.4670241951346592,1614311591.6874125
1.0647038456582945,1614311591.6978652
1.0044265468004692,1614311591.7184725
1.16540834548998,1614311591.7388775
1.3368027471784165,1614311591.7592947
1.0600133790388642,1614311591.779705
1.2522569313553151,1614311591.8001099
0.7473036830316796,1614311591.8001099
1.1621603478849305,1614311591.841065
0.8288181848359626,1614311591.861807
1.0598658499015745,1614311591.8825514
0.6892901838584926,1614311591.9032936
0.6892901838584926,1614311591.9032936
0.40717364664054784,1614311591.92402
0.810815967156399,1614311591.9645996
0.47599941872492824,1614311591.9645996
0.6874442365291271,1614311592.0054846
0.5647592255104956,1614311592.0054846
0.4020269304388639,1614311592.025917
0.6990766588854724,1614311592.0565088
0.6670498356121969,1614311592.0565088
0.5282101182693044,1614311592.1076415
0.9111311111828252,1614311592.1076415
1.0707751538648322,1614311592.1180954
0.5727241332753858,1614311592.1592793
0.5727241332753858,1614311592.1592793
0.652352273475294,1614311592.200419
0.652352273475294,1614311592.200419
0.7183987394382524,1614311592.241287
0.7183987394382524,1614311592.241287
1.0162367066774776,1614311592.2618647
0.5664008564119178,1614311592.3027046
1.0702227954126597,1614311592.3027046
0.843765177320088,1614311592.3231125
0.8976808508882836,1614311592.3633704
0.6810110659873357,1614311592.383558
0.6810110659873357,1614311592.383558
1.1881084681370317,1614311592.4041972
0.7758703107187552,1614311592.4448
1.4582622585265208,1614311592.4448
1.285036567745183,1614311592.4857996
1.0969151723205603,1614311592.506272
0.9146212090237658,1614311592.5267236
1.3345373346118532,1614311592.5267236
0.9888193644917802,1614311592.567642
1.2988168537446412,1614311592.5780163
1.1394232112665599,1614311592.5986881
1.2667364460758619,1614311592.6193862
1.1229950214921256,1614311592.6401181
1.3276727425935229,1614311592.6610155
1.2014418860633196,1614311592.6817508
1.0842985263602278,1614311592.7023907
1.415885776052946,1614311592.7228527
1.318005197943543,1614311592.7432048
1.5593676463110964,1614311592.7637656
1.5690073218957736,1614311592.7844565
1.5690073218957736,1614311592.7844565
1.5761511349950643,1614311592.8048592
1.4774667931239964,1614311592.8460813
1.4596345463011167,1614311592.8562014
1.5454932255620095,1614311592.8873217
1.5387730950951126,1614311592.897774
1.569238656926994,1614311592.918576
1.5538064663588718,1614311592.918576
1.5598110721246021,1614311592.939148
1.5756591416505141,1614311592.9808211
1.6129657749347757,1614311593.0015604
1.6129657749347757,1614311593.0015604
1.557324150816541,1614311593.042668
1.6225748693287214,1614311593.0628197
1.460035607784877,1614311593.0628197
1.4881745038270993,1614311593.0833008
1.4181065859246755,1614311593.1036687
1.4904913921410412,1614311593.1445076
1.5949167101987096,1614311593.164813
1.7061758790070365,1614311593.1855433
1.4275225517058314,1614311593.2062826
1.55132788520493,1614311593.226741
1.6192506759473733,1614311593.226741
1.6246966228804003,1614311593.2474625
1.4481422273459836,1614311593.2678192
1.3928619873278056,1614311593.2986462
1.471130197712603,1614311593.2986462
1.4286159927891837,1614311593.3391798
1.356523266120741,1614311593.3597376
1.3780923396472442,1614311593.3799582
1.3912025475515315,1614311593.4001572
1.321393805471552,1614311593.420851
1.4161525701798858,1614311593.4416008
1.3387114479687838,1614311593.4621403
1.4398511540687216,1614311593.482627
1.4439078342090828,1614311593.5033805
1.3990554988121822,1614311593.524125
1.5083309559990334,1614311593.524125
1.484943791651098,1614311593.544829
1.4526903063277845,1614311593.5856853
1.453847400415322,1614311593.6062264
1.4496556310598347,1614311593.6266093
1.4496556310598347,1614311593.6266093
1.4172179491619235,1614311593.6572287
1.4837682870691296,1614311593.6878603
1.3886574761259491,1614311593.6981354
1.4534657497029586,1614311593.7187
1.5299494926672672,1614311593.739422
1.3863909115996564,1614311593.7600474
1.4858771764883345,1614311593.780952
1.0940465067397425,1614311593.780952
1.0485671465386392,1614311593.8017294
1.3046502608630832,1614311593.842692
1.4497945440326965,1614311593.8630922
1.2538889636031691,1614311593.8832169
1.4215060492185794,1614311593.9035814
1.1999643443831995,1614311593.923997
1.38983086600324,1614311593.944605
1.1302291993766698,1614311593.9647315
1.3411180493216457,1614311593.985427
1.055669015815523,1614311594.00618
1.2848539136762787,1614311594.0267293
0.9609037264492395,1614311594.0474305
0.9609037264492395,1614311594.0474305
1.2060492705994723,1614311594.068094
0.8288523606661675,1614311594.0986912
1.0901118421765534,1614311594.119101
0.9357213979227432,1614311594.13961
0.9563190074898358,1614311594.1601741
0.9137704983589703,1614311594.1805954
0.9398420959766987,1614311594.200822
0.9172018377910256,1614311594.2215567
1.0796603692327431,1614311594.2421331
0.999494338163486,1614311594.2625272
1.0055980746187068,1614311594.2832837
1.0082189316256245,1614311594.3040338
1.0325681166834761,1614311594.3040338
