x,y,z,t
2.0672293311749557,-9.506861196288325,8.290676149499442,35.38
2.113599453380363,-9.573305328372255,8.335663694119228,35.39
2.16044648621987,-9.640142576260148,8.380744138206481,35.4
2.2077688208919737,-9.707378666919514,8.425915224741045,35.41
2.2555649166405347,-9.775018822647425,8.47117487958446,35.42
2.3038332977206504,-9.843067669190058,8.516521249865024,35.43
2.3525723505824447,-9.911529128485924,8.561952293799461,35.44
2.401780586899366,-9.980406711223923,8.607466383803258,35.45
2.451457441109666,-10.049704305865536,8.65306404167083,35.46
2.5016020218729342,-10.119424925050533,8.698745205272658,35.47
2.552212971538398,-10.18957033272943,8.744508920217749,35.48
2.603289098646391,-10.260141709283964,8.790354690005532,35.49
2.6548290677368334,-10.331139416475255,8.836281809035022,35.5
2.7068317830434343,-10.402563367420166,8.88229023065647,35.51
2.759296216721942,-10.474412818983726,8.928380235419802,35.52
2.8122215587015864,-10.546686347890667,8.974552828499338,35.53
2.8656070780361276,-10.619381931059184,9.02080940355707,35.54
2.919452062268787,-10.692496807787068,9.067151553853687,35.55
2.973755801146204,-10.766027526208308,9.113580989852572,35.56
3.0285178298257778,-10.839970053578107,9.16010009888153,35.57
3.083736899408115,-10.914319014863402,9.206709646739103,35.58
3.1394118749537334,-10.9890685140315,9.25341075581532,35.59
3.19554198357265,-11.0642123465701,9.30020546061249,35.6
3.2521264183315926,-11.139743561783739,9.347095918667566,35.61
3.309165216013159,-11.215655314165149,9.394086381760108,35.62
3.3666576653802607,-11.291939248550083,9.441179706179312,35.63
3.424602790550585,-11.368586046306836,9.488378372552948,35.64
3.482999602828492,-11.445585546936863,9.53568501191144,35.65
3.541847318956086,-11.52292686808266,9.583102856901403,35.66
3.6011451663533176,-11.600598163409238,9.630635373341828,35.67
3.6608922896675766,-11.678586822115232,9.67828606467544,35.68
3.721088041856166,-11.75687986440567,9.726059220553088,35.69
3.7817315944616303,-11.835463535526374,9.773959007062457,35.7
3.8428219310139924,-11.914323089600689,9.82198945762964,35.71
3.904358407697387,-11.993442904596074,9.870155634950649,35.72
3.9663392233136143,-12.072805809779156,9.918460042573354,35.73
4.028762636805131,-12.152394103999766,9.966905411399537,35.74
4.091627005026301,-12.232189758812124,10.015494960847464,35.75
4.154930347857249,-12.312174137404334,10.064231502444208,35.76
4.218670989447978,-12.392327978836681,10.113119057715716,35.77
4.282846683895463,-12.47263106479676,10.162160686241368,35.78
4.347455266773908,-12.553062504063062,10.211359695372243,35.79
4.412494251478156,-12.633600832555965,10.260718640077217,35.8
4.477961189161069,-12.714224307962377,10.310240354419301,35.81
4.543853155650596,-12.794910894826073,10.359926909229037,35.82
4.61016640464984,-12.875638147130342,10.409778795148446,35.83
4.6768973244721055,-12.956383287939193,10.459797081223439,35.84
4.744042385899812,-13.03712307163714,10.509983001560522,35.85
4.811597688375969,-13.1178338415713,10.560336805510925,35.86
4.879559360624047,-13.198491901880654,10.610858876956465,35.87
4.94792304850565,-13.279073587596775,10.661548716611652,35.88
5.016683881645697,-13.359555147296629,10.712404967104513,35.89
5.085836639762135,-13.439912509121084,10.763425696169111,35.9
5.155376178021017,-13.520121087330082,10.814609236000585,35.91
5.225297059941675,-13.60015605968691,10.865953104004946,35.92
5.29559426477665,-13.67999249728083,10.9174560559864,35.93
5.366262105508951,-13.75960575615454,10.969115474838631,35.94
5.437294245796403,-13.83897141394042,11.02092763197138,35.95
5.508684173456167,-13.918064836417544,11.07288885659285,35.96
5.580424842950481,-13.996861341405998,11.124994260858582,35.97
5.652509094340786,-14.075336190515229,11.177238523232823,35.98
5.724929613243049,-14.15346491131964,11.229615791647998,35.99
5.797675271640779,-14.231226030216709,11.28210962048423,36.0
